Unnamed: 0,post_id,post_created,statement,user_id,followers,friends,favourites,statuses,retweets,status,cleaned_text,processed_text,text_length,word_count,dominant_topic,topic_probability,kmeans_cluster,tsne_x,tsne_y,status_numeric
5778,616462750966005760,Thu Jul 02 04:25:47 +0000 2015,HELP SOMEONE JUST INVENT A FOOD PILL OR FEED ME INTRAVENOUSLY,49548465,677,1644,8375,12913,0,1,help someone just invent a food pill or feed me intravenously,help someone invent food pill feed intravenously,48,7,2,0.900619655605911,4,19.557001,-12.372755,
19285,812131387713040384,Fri Dec 23 03:03:06 +0000 2016,Goodsense Health and Happiness Boutique https://t.co/njSzVQXYG2,1458225506,1197,701,1156,61856,0,0,goodsense health and happiness boutique,goodsense health happiness boutique,35,4,1,0.8828361132124151,4,126.14489,-44.479507,
13080,813771526952591360,Tue Dec 27 15:40:25 +0000 2016,@The_Trump_Train JOKE!! GENOCIDE?  Thought's of of deranged buffoon! HOW can a sane citizen vote for one of the mos… https://t.co/7BLR5Q0LuL,145626605,126,621,22,2111,0,0,joke genocide thoughts of of deranged buffoon how can a sane citizen vote for one of the mos,joke genocide thought deranged buffoon sane citizen vote mo,59,9,1,0.48940266969285734,4,-48.18361,-23.928795,
11921,812490142351032320,Sat Dec 24 02:48:39 +0000 2016,They should put a gag in the mouth of @realDonaldTrump and tie his tiny hands behind his back so we would never hea… https://t.co/YaA7IsjGEq,18831261,884,2389,8466,57269,0,0,they should put a gag in the mouth of and tie his tiny hands behind his back so we would never hea,put gag mouth tie tiny hand behind back never hea,49,10,0,0.8461449307561195,4,-53.28479,19.789705,
1639,594671733845696512,Sun May 03 01:16:04 +0000 2015,Circle's End: Depression Therapy — Relieve holiday stress and relax this Christmas | http://t.co/mScQkQhnDq,1616997456,476,1235,0,21533,0,1,circles end depression therapy relieve holiday stress and relax this christmas,circle end depression therapy relieve holiday stress relax christmas,68,9,1,0.9415726884555227,4,37.285366,46.186085,
12180,810336358774378496,Sun Dec 18 04:10:17 +0000 2016,When you're depressed and sick so you watch @Chris_Villain videos to make you feel better,171999132,252,2119,704,1428,1,0,when youre depressed and sick so you watch videos to make you feel better,youre depressed sick watch video make feel better,49,8,2,0.7565691432901827,4,-55.06939,41.569168,
11932,812369937507450880,Fri Dec 23 18:51:00 +0000 2016,"@DonCheadle Keep tweeting, my brother.  You're not the one who is crazy.  #MerryChristmas.",18831261,884,2389,8466,57269,0,0,keep tweeting my brother youre not the one who is crazy,keep tweeting brother youre crazy,33,5,2,0.6716215384759345,4,-67.759575,13.150238,
11532,819293114787577870,Wed Jan 11 21:21:14 +0000 2017,@TomiLahren you shouldn't be so flattered.  He just wants to fuck you.,18831261,884,2389,8466,57269,0,0,you shouldnt be so flattered he just wants to fuck you,shouldnt flattered want fuck,28,4,1,0.9001545755151598,4,56.2143,1.0928329,
15202,817390702166319106,Fri Jan 06 15:21:44 +0000 2017,"@anashssn going to after my exams. Tadi aku baca satu that was gory as hell. Rape, mutilation, effed up sheet. Got me hooked with manhwas.",490044008,1849,561,8229,86352,0,0,going to after my exams tadi aku baca satu that was gory as hell rape mutilation effed up sheet got me hooked with manhwas,going exam tadi aku baca satu gory hell rape mutilation effed sheet got hooked manhwas,86,15,2,0.9119541858431492,4,22.31747,-31.441204,
4763,585168317620576256,Mon Apr 06 19:52:53 +0000 2015,@ambbroadway aw man I still get my newsletter the old school way.,20863408,104,247,2752,3268,0,1,aw man i still get my newsletter the old school way,man still newsletter old school way,35,6,1,0.6451617130670001,4,-7.1528955,-39.56346,
7226,285796398065123328,Mon Dec 31 17:15:45 +0000 2012,"RT @ALESSTHECOUSIN: Those people who ring in the new year with a kiss from the person they love... Then there's me, who's gonna ring in  ...",454311273,399,615,194,3289,5,1,rt those people who ring in the new year with a kiss from the person they love then theres me whos gonna ring in,people ring new year kiss person love there who gon ring,56,11,2,0.9352013040750814,7,37.25454,-25.977465,
10626,815380061570342912,Sun Jan 01 02:12:10 +0000 2017,@cameronhoodkin YALL ARE THE SPITTING IMAGE OF EACH OTHER OMG,3249600438,235,185,24407,22302,1,0,yall are the spitting image of each other omg,yall spitting image omg,23,4,2,0.8832721980305696,4,12.170737,-15.872256,
17580,809668418601238529,Fri Dec 16 07:56:08 +0000 2016,Actually sickening https://t.co/NE6lP9lzt0,324294391,59,183,2456,6180,0,0,actually sickening,actually sickening,18,2,1,0.8461454387808414,4,56.04421,-8.795074,
18140,818961448646967303,Tue Jan 10 23:23:19 +0000 2017,Hey Graham Leach thanks for the follow!,1458225506,1197,701,1156,61856,0,0,hey graham leach thanks for the follow,hey graham leach thanks follow,30,5,2,0.9129289912151924,4,-99.547485,-0.9044935,
19715,819431102754525184,Thu Jan 12 06:29:33 +0000 2017,"There are three kinds of lies: Lies, Damn Lies, and Statistics. ― Disraeli",1169875706,442,230,7,1063601,0,0,there are three kinds of lies lies damn lies and statistics disraeli,three kind lie lie damn lie statistic disraeli,46,8,0,0.8890528310077254,4,27.966509,-16.452065,
11220,810381138581684224,Sun Dec 18 07:08:14 +0000 2016,@tylergposey i love u and hope ur staying warm,3249600438,235,185,24407,22302,2,0,i love u and hope ur staying warm,love hope staying warm,22,4,2,0.8996984765890956,2,15.511854,-12.312327,
6204,600297042708017153,Mon May 18 13:49:02 +0000 2015,RT @larrylusting: do management and everyone associated with one direction's publicity even know how much the band would profit of larry in…,1306425758,734,1899,154,5929,51,1,rt do management and everyone associated with one directions publicity even know how much the band would profit of larry in,management everyone associated direction publicity band profit larry,68,8,1,0.8461511740315045,4,-10.789396,59.52874,
5993,592711941409366018,Mon Apr 27 15:28:33 +0000 2015,RT @ToriKelly: life is but a breath,718984718,501,149,472,945,755,1,rt life is but a breath,life breath,11,2,1,0.8461378668621066,4,41.840565,-18.265833,
2093,588826871539826688,Thu Apr 16 22:10:40 +0000 2015,Brain Eases the Pain of Social Rejection | Depression Treatments | http://t.co/NtAtR0Nd9I,1616997456,476,1235,0,21533,0,1,brain eases the pain of social rejection depression treatments,brain eas pain social rejection depression treatment,52,7,1,0.9264224003841272,3,78.832245,-6.667484,
14481,812401505294778368,Fri Dec 23 20:56:27 +0000 2016,RT @AlexisRenG: Ya u look good but ur soul don't,1497350173,640,445,24297,52892,18266,0,rt ya u look good but ur soul dont,look good soul dont,19,4,0,0.911040419025775,0,7.8629313,43.165627,
15256,817223270218858497,Fri Jan 06 04:16:25 +0000 2017,...looks like dad found his beach.,490044008,1849,561,8229,86352,0,0,looks like dad found his beach,look dad found beach,20,4,2,0.8825600922909352,4,24.82514,-38.839005,
6465,425026379764097024,Sun Jan 19 22:06:00 +0000 2014,"Kyubey from Madoka Magica is so cute!! ""Make a contract with me.""- Kyubey. Here is his many faces. Kawaī (cute!) http://t.co/50Rh4njcQA",632291359,68,399,243,1480,0,1,kyubey from madoka magica is so cute make a contract with me kyubey here is his many faces kawa cute,kyubey madoka magica cute make contract kyubey many face kawa cute,66,11,1,0.8951414984236815,4,11.328065,-51.558167,
2630,573399298366304256,Thu Mar 05 08:27:00 +0000 2015,"AdLib: The power of positive thinking: Positive thinking - which we're all told to do - is ""a bit Utopian"". By... http://t.co/jdXq0oFzxx",484109859,28614,28514,0,4783,0,1,adlib the power of positive thinking positive thinking which were all told to do is a bit utopian by,adlib power positive thinking positive thinking told bit utopian,64,9,0,0.923799275567489,4,16.318815,-38.898705,
15321,816855687506497537,Thu Jan 05 03:55:47 +0000 2017,Chokers for men is apparently a thing now. Yish. https://t.co/fqrMwFxrd0,490044008,1849,561,8229,86352,2,0,chokers for men is apparently a thing now yish,choker men apparently thing yish,32,5,1,0.5711764083531651,4,-73.36305,11.149268,
